timestamp,project_occupation,status,count
14/05/2016,Writing and translation,open,10380
,,,
15/05/2016,Business services,closed,141
,,,
15/05/2016,Business services,new,81
,,,
15/05/2016,Business services,open,3102
,,,
15/05/2016,Clerical and data entry,closed,1482
,,,
15/05/2016,Clerical and data entry,new,1477
,,,
15/05/2016,Clerical and data entry,open,9577
,,,
15/05/2016,Creative and multimedia,closed,1148
,,,
15/05/2016,Creative and multimedia,new,1162
,,,
15/05/2016,Creative and multimedia,open,12186
,,,
15/05/2016,None,closed,14
,,,
15/05/2016,None,new,7
,,,
15/05/2016,None,open,66
,,,
15/05/2016,Sales and marketing support,closed,442
,,,
15/05/2016,Sales and marketing support,new,436
,,,
15/05/2016,Sales and marketing support,open,6977
,,,
15/05/2016,Software development and technology,closed,1963
,,,
15/05/2016,Software development and technology,new,1707
,,,
15/05/2016,Software development and technology,open,23897
,,,
15/05/2016,Writing and translation,closed,693
,,,
15/05/2016,Writing and translation,new,576
,,,
15/05/2016,Writing and translation,open,10569
,,,
16/05/2016,Business services,closed,155
,,,
16/05/2016,Business services,new,96
,,,
16/05/2016,Business services,open,3028
,,,
16/05/2016,Clerical and data entry,closed,1325
,,,
16/05/2016,Clerical and data entry,new,975
,,,
16/05/2016,Clerical and data entry,open,9729
,,,
16/05/2016,Creative and multimedia,closed,1262
,,,
16/05/2016,Creative and multimedia,new,953
,,,
16/05/2016,Creative and multimedia,open,12086
,,,
16/05/2016,None,closed,10
,,,
16/05/2016,None,new,3
,,,
16/05/2016,None,open,63
,,,
16/05/2016,Sales and marketing support,closed,521
,,,
16/05/2016,Sales and marketing support,new,399
,,,
16/05/2016,Sales and marketing support,open,6892
,,,
16/05/2016,Software development and technology,closed,1933
,,,
16/05/2016,Software development and technology,new,1438
,,,
16/05/2016,Software development and technology,open,23671
,,,
16/05/2016,Writing and translation,closed,706
,,,
16/05/2016,Writing and translation,new,533
,,,
16/05/2016,Writing and translation,open,10439
,,,
17/05/2016,Business services,closed,160
,,,
17/05/2016,Business services,new,153
,,,
17/05/2016,Business services,open,2964
,,,
17/05/2016,Clerical and data entry,closed,1514
,,,
17/05/2016,Clerical and data entry,new,1433
,,,
17/05/2016,Clerical and data entry,open,9190
,,,
17/05/2016,Creative and multimedia,closed,1785
,,,
17/05/2016,Creative and multimedia,new,2050
,,,
17/05/2016,Creative and multimedia,open,11255
,,,
17/05/2016,None,closed,15
,,,
17/05/2016,None,new,20
,,,
17/05/2016,None,open,51
,,,
17/05/2016,Sales and marketing support,closed,717
,,,
17/05/2016,Sales and marketing support,new,844
,,,
17/05/2016,Sales and marketing support,open,6574
,,,
17/05/2016,Software development and technology,closed,2830
,,,
17/05/2016,Software development and technology,new,2838
,,,
17/05/2016,Software development and technology,open,22279
,,,
17/05/2016,Writing and translation,closed,1029
,,,
17/05/2016,Writing and translation,new,1111
,,,
17/05/2016,Writing and translation,open,9943
,,,
18/05/2016,Business services,closed,157
,,,
18/05/2016,Business services,new,147
,,,
18/05/2016,Business services,open,2960
,,,
18/05/2016,Clerical and data entry,closed,3446
,,,
18/05/2016,Clerical and data entry,new,528
,,,
18/05/2016,Clerical and data entry,open,7177
,,,
18/05/2016,Creative and multimedia,closed,1892
,,,
18/05/2016,Creative and multimedia,new,1925
,,,
18/05/2016,Creative and multimedia,open,11413
,,,
18/05/2016,None,closed,11
,,,
18/05/2016,None,new,17
,,,
18/05/2016,None,open,60
,,,
18/05/2016,Sales and marketing support,closed,835
,,,
18/05/2016,Sales and marketing support,new,764
,,,
18/05/2016,Sales and marketing support,open,6583
,,,
18/05/2016,Software development and technology,closed,2655
,,,
18/05/2016,Software development and technology,new,2886
,,,
18/05/2016,Software development and technology,open,22462
,,,
18/05/2016,Writing and translation,closed,874
,,,
18/05/2016,Writing and translation,new,950
,,,
18/05/2016,Writing and translation,open,10180
,,,
19/05/2016,Business services,closed,196
,,,
19/05/2016,Business services,new,168
,,,
19/05/2016,Business services,open,2928
,,,
19/05/2016,Clerical and data entry,closed,695
,,,
19/05/2016,Clerical and data entry,new,682
,,,
19/05/2016,Clerical and data entry,open,7023
,,,
19/05/2016,Creative and multimedia,closed,1939
,,,
19/05/2016,Creative and multimedia,new,1877
,,,
19/05/2016,Creative and multimedia,open,11514
,,,
19/05/2016,None,closed,14
,,,
19/05/2016,None,new,16
,,,
19/05/2016,None,open,63
,,,
19/05/2016,Sales and marketing support,closed,753
,,,
19/05/2016,Sales and marketing support,new,788
,,,
19/05/2016,Sales and marketing support,open,6617
,,,
19/05/2016,Software development and technology,closed,3210
,,,
19/05/2016,Software development and technology,new,2777
,,,
19/05/2016,Software development and technology,open,22399
,,,
19/05/2016,Writing and translation,closed,1024
,,,
19/05/2016,Writing and translation,new,982
,,,
19/05/2016,Writing and translation,open,10144
,,,
20/05/2016,Business services,closed,50
,,,
20/05/2016,Business services,new,75
,,,
20/05/2016,Business services,open,785
,,,
20/05/2016,Clerical and data entry,closed,390
,,,
20/05/2016,Clerical and data entry,new,375
,,,
20/05/2016,Clerical and data entry,open,1161
,,,
20/05/2016,Creative and multimedia,closed,1395
,,,
20/05/2016,Creative and multimedia,new,1460
,,,
20/05/2016,Creative and multimedia,open,7095
,,,
20/05/2016,None,closed,16
,,,
20/05/2016,None,new,22
,,,
20/05/2016,None,open,63
,,,
20/05/2016,Sales and marketing support,closed,402
,,,
20/05/2016,Sales and marketing support,new,415
,,,
20/05/2016,Sales and marketing support,open,2069
,,,
20/05/2016,Software development and technology,closed,1306
,,,
20/05/2016,Software development and technology,new,1578
,,,
20/05/2016,Software development and technology,open,11188
,,,
20/05/2016,Writing and translation,closed,440
,,,
20/05/2016,Writing and translation,new,455
,,,
20/05/2016,Writing and translation,open,2677
,,,
21/05/2016,Business services,closed,235
,,,
21/05/2016,Business services,new,188
,,,
21/05/2016,Business services,open,2859
,,,
21/05/2016,Clerical and data entry,closed,833
,,,
21/05/2016,Clerical and data entry,new,887
,,,
21/05/2016,Clerical and data entry,open,6837
,,,
21/05/2016,Creative and multimedia,NULL,1
,,,
21/05/2016,Creative and multimedia,closed,1751
,,,
21/05/2016,Creative and multimedia,new,2004
,,,
21/05/2016,Creative and multimedia,open,11612
,,,
21/05/2016,None,closed,8
,,,
21/05/2016,None,new,17
,,,
21/05/2016,None,open,77
,,,
21/05/2016,Sales and marketing support,closed,856
,,,
21/05/2016,Sales and marketing support,new,851
,,,
21/05/2016,Sales and marketing support,open,6539
,,,
21/05/2016,Software development and technology,closed,3461
,,,
21/05/2016,Software development and technology,new,3437
,,,
21/05/2016,Software development and technology,open,21729
,,,
21/05/2016,Writing and translation,closed,1173
,,,
21/05/2016,Writing and translation,new,1140
,,,
21/05/2016,Writing and translation,open,9929
,,,
22/05/2016,Business services,closed,134
,,,
22/05/2016,Business services,new,79
,,,
22/05/2016,Business services,open,2913
,,,
22/05/2016,Clerical and data entry,closed,500
,,,
22/05/2016,Clerical and data entry,new,521
,,,
22/05/2016,Clerical and data entry,open,7224
,,,
22/05/2016,Creative and multimedia,closed,1300
,,,
22/05/2016,Creative and multimedia,new,1166
,,,
22/05/2016,Creative and multimedia,open,12318
,,,
22/05/2016,None,closed,7
,,,
22/05/2016,None,new,6
,,,
22/05/2016,None,open,87
,,,
22/05/2016,Sales and marketing support,closed,388
,,,
22/05/2016,Sales and marketing support,new,432
,,,
22/05/2016,Sales and marketing support,open,7002
,,,
22/05/2016,Software development and technology,closed,1803
,,,
22/05/2016,Software development and technology,new,1840
,,,
22/05/2016,Software development and technology,open,23363
,,,
22/05/2016,Writing and translation,closed,647
,,,
22/05/2016,Writing and translation,new,630
,,,
22/05/2016,Writing and translation,open,10422
,,,
23/05/2016,Business services,closed,109
,,,
23/05/2016,Business services,new,80
,,,
23/05/2016,Business services,open,2883
,,,
23/05/2016,Clerical and data entry,closed,451
,,,
23/05/2016,Clerical and data entry,new,414
,,,
23/05/2016,Clerical and data entry,open,7294
,,,
23/05/2016,Creative and multimedia,closed,1330
,,,
23/05/2016,Creative and multimedia,new,1123
,,,
23/05/2016,Creative and multimedia,open,12154
,,,
23/05/2016,None,closed,8
,,,
23/05/2016,None,new,13
,,,
23/05/2016,None,open,85
,,,
23/05/2016,Sales and marketing support,closed,438
,,,
23/05/2016,Sales and marketing support,new,404
,,,
23/05/2016,Sales and marketing support,open,6996
,,,
23/05/2016,Software development and technology,closed,1712
,,,
23/05/2016,Software development and technology,new,1499
,,,
23/05/2016,Software development and technology,open,23491
,,,
23/05/2016,Writing and translation,closed,657
,,,
23/05/2016,Writing and translation,new,521
,,,
23/05/2016,Writing and translation,open,10395
,,,
24/05/2016,Business services,closed,163
,,,
24/05/2016,Business services,new,178
,,,
24/05/2016,Business services,open,2800
,,,
24/05/2016,Clerical and data entry,closed,685
,,,
24/05/2016,Clerical and data entry,new,756
,,,
24/05/2016,Clerical and data entry,open,7023
,,,
24/05/2016,Creative and multimedia,closed,1845
,,,
24/05/2016,Creative and multimedia,new,1841
,,,
24/05/2016,Creative and multimedia,open,11432
,,,
24/05/2016,None,closed,18
,,,
24/05/2016,None,new,27
,,,
24/05/2016,None,open,80
,,,
24/05/2016,Sales and marketing support,closed,750
,,,
24/05/2016,Sales and marketing support,new,712
,,,
24/05/2016,Sales and marketing support,open,6650
,,,
24/05/2016,Software development and technology,closed,2545
,,,
24/05/2016,Software development and technology,new,2739
,,,
24/05/2016,Software development and technology,open,22445
,,,
24/05/2016,Writing and translation,closed,970
,,,
