timestamp	project_occupation	status	count
2016-05-21	Creative and multimedia	closed	1751
2016-05-21	Creative and multimedia	new	2004
2016-05-21	Creative and multimedia	open	11612
2016-05-21	None	closed	8
2016-05-21	None	new	17
2016-05-21	None	open	77
2016-05-21	Sales and marketing support	closed	856
2016-05-21	Sales and marketing support	new	851
2016-05-21	Sales and marketing support	open	6539
2016-05-21	Software development and technology	closed	3461
2016-05-21	Software development and technology	new	3437
2016-05-21	Software development and technology	open	21729
2016-05-21	Writing and translation	closed	1173
2016-05-21	Writing and translation	new	1140
2016-05-21	Writing and translation	open	9929
2016-05-22	Business services	closed	134
2016-05-22	Business services	new	79
2016-05-22	Business services	open	2913
2016-05-22	Clerical and data entry	closed	500
2016-05-22	Clerical and data entry	new	521
2016-05-22	Clerical and data entry	open	7224
2016-05-22	Creative and multimedia	closed	1300
2016-05-22	Creative and multimedia	new	1166
2016-05-22	Creative and multimedia	open	12318
2016-05-22	None	closed	7
2016-05-22	None	new	6
2016-05-22	None	open	87
2016-05-22	Sales and marketing support	closed	388
2016-05-22	Sales and marketing support	new	432
2016-05-22	Sales and marketing support	open	7002
2016-05-22	Software development and technology	closed	1803
2016-05-22	Software development and technology	new	1840
2016-05-22	Software development and technology	open	23363
2016-05-22	Writing and translation	closed	647
2016-05-22	Writing and translation	new	630
2016-05-22	Writing and translation	open	10422
2016-05-23	Business services	closed	109
2016-05-23	Business services	new	80
2016-05-23	Business services	open	2883
2016-05-23	Clerical and data entry	closed	451
2016-05-23	Clerical and data entry	new	414
2016-05-23	Clerical and data entry	open	7294
2016-05-23	Creative and multimedia	closed	1330
2016-05-23	Creative and multimedia	new	1123
2016-05-23	Creative and multimedia	open	12154
2016-05-23	None	closed	8
2016-05-23	None	new	13
2016-05-23	None	open	85
2016-05-23	Sales and marketing support	closed	438
2016-05-23	Sales and marketing support	new	404
2016-05-23	Sales and marketing support	open	6996
2016-05-23	Software development and technology	closed	1712
2016-05-23	Software development and technology	new	1499
2016-05-23	Software development and technology	open	23491
2016-05-23	Writing and translation	closed	657
2016-05-23	Writing and translation	new	521
2016-05-23	Writing and translation	open	10395
2016-05-24	Business services	closed	163
2016-05-24	Business services	new	178
2016-05-24	Business services	open	2800
2016-05-24	Clerical and data entry	closed	685
2016-05-24	Clerical and data entry	new	756
2016-05-24	Clerical and data entry	open	7023
2016-05-24	Creative and multimedia	closed	1845
2016-05-24	Creative and multimedia	new	1841
2016-05-24	Creative and multimedia	open	11432
2016-05-24	None	closed	18
2016-05-24	None	new	27
